Game,Console,Publisher,Developer,Critic Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update_ Real
Castlevania: Lords of Shadow,PS3_b,Konami,Mercury Steam,8.1,1.11m,0.50m,0.37m,0.10m,0.15m,05th Oct 10,05th Oct 10
Red Dead Redemption: Undead Nightmare,X360_b,Rockstar Games,Rockstar San Diego,10,1.11m,0.61m,0.38m,0.02m,0.10m,23rd Nov 10,23rd Nov 10
FIFA 18,NS_b,EA Sports,EA Vancouver,5.8,1.10m,0.35m,0.55m,0.13m,0.07m,29th Sep 17,02nd Apr 18
GRID,PS3_b,Codemasters,Codemasters,8.6,1.10m,0.31m,0.57m,0.03m,0.19m,03rd Jun 08,03rd Jun 08
Untold Legends: Brotherhood of the Blade,PSP_b,Sony Online Entertainment,Sony Online Entertainment,6.5,1.09m,0.54m,0.33m,0.01m,0.22m,22nd Mar 05,22nd Mar 05
Bully: Scholarship Edition,X360_b,Rockstar Games,Rockstar Vancouver/Mad Doc Software,8.1,1.09m,0.53m,0.42m,0.03m,0.11m,05th Mar 08,05th Mar 08
Skate 2,X360_b,Electronic Arts,EA Black Box,8.2,1.09m,0.82m,0.17m,0.01m,0.09m,21st Jan 09,21st Jan 09
Dante's Inferno,PS3_b,Electronic Arts,Visceral Games,7.3,1.08m,0.64m,0.28m,0.04m,0.12m,09th Feb 10,09th Feb 10
Virtua Fighter 5,PS3_b,Sega,Sega-AM2,8.7,1.08m,0.29m,0.52m,0.08m,0.20m,20th Feb 07,20th Feb 07
Pro Evolution Soccer 2014,PS3_b,Konami Digital Entertainment,Konami,8.3,1.08m,0.03m,0.46m,0.51m,0.08m,24th Sep 13,01st Mar 18
Grand Theft Auto: Chinatown Wars,PSP_b,Rockstar Games,Rockstar Leeds,9.2,1.08m,0.28m,0.50m,0.03m,0.27m,20th Oct 09,20th Oct 09
Star Fox: Assault,GC_b,Nintendo,Namco,6.6,1.08m,0.68m,0.18m,0.19m,0.03m,14th Feb 05,14th Feb 05
Marvel vs. Capcom 3: Fate of Two Worlds,X360_b,Capcom,Capcom,8.4,1.07m,0.79m,0.18m,0.03m,0.08m,15th Feb 11,15th Feb 11
Prince of Persia,PS3_b,Ubisoft,Ubisoft Montreal,8.3,1.07m,0.47m,0.41m,0.03m,0.17m,02nd Dec 08,02nd Dec 08
Virtua Fighter,SAT_b,Sega,Sega-AM2,9,1.07m,0.17m,0.12m,0.77m,0.02m,11th May 95,11th May 95
Tomb Raider: Underworld,X360_b,Eidos Interactive,Crystal Dynamics,7.5,1.07m,0.53m,0.42m,0.01m,0.11m,18th Nov 08,18th Nov 08
Naruto: Ultimate Ninja Storm,PS3_b,Namco Bandai,CyberConnect2,7.8,1.07m,0.49m,0.34m,0.09m,0.15m,04th Nov 08,04th Nov 08
Spore Creatures,DS_b,Electronic Arts,Foundation 9,7.2,1.07m,0.66m,0.30m,0.00m,0.10m,07th Sep 08,07th Sep 08
DiRT 3,PS3_b,Codemasters,Codemasters,9,1.06m,0.27m,0.58m,0.01m,0.20m,24th May 11,24th May 11
Endless Ocean,Wii_b,Nintendo,Arika,6.8,1.06m,0.43m,0.46m,0.09m,0.09m,21st Jan 08,21st Jan 08
Sonic Generations,3DS_b,Sega,Sonic Team,6.3,1.06m,0.44m,0.52m,0.01m,0.08m,22nd Nov 11,22nd Nov 11
Darksiders,X360_b,THQ,Vigil Games,7.8,1.06m,0.67m,0.28m,0.01m,0.10m,05th Jan 10,05th Jan 10
Mercenaries 2: World in Flames,X360_b,Electronic Arts,Pandemic Studios,7.1,1.06m,0.65m,0.30m,0.01m,0.10m,31st Aug 08,31st Aug 08
Call of Duty 4: Modern Warfare,DS_b,Activision,n-Space,7.3,1.05m,0.95m,0.02m,0.01m,0.08m,05th Nov 07,05th Nov 07
Resident Evil: The Darkside Chronicles,Wii_b,Capcom,"Cavia, inc.",7.2,1.05m,0.46m,0.31m,0.20m,0.09m,17th Nov 09,17th Nov 09
MySims Agents,Wii_b,Electronic Arts,EA Redwood Shores,7.5,1.05m,0.63m,0.32m,0.00m,0.10m,29th Sep 09,29th Sep 09
Rocksmith 2014,PS3_b,Ubisoft,Ubisoft San Francisco,9.1,1.05m,0.56m,0.26m,0.05m,0.17m,22nd Oct 13,08th Mar 18
WWE SmackDown vs. Raw 2010,X360_b,THQ,JAKKS Pacific,8.2,1.04m,0.56m,0.37m,0.01m,0.10m,20th Oct 09,20th Oct 09
Sleeping Dogs,PS3_b,Square Enix,United Front Games,8.1,1.04m,0.31m,0.50m,0.05m,0.17m,14th Aug 12,07th Mar 18
Naruto: Clash of Ninja 2,GC_b,D3 Publisher,8ing/Raizing,7.4,1.04m,0.44m,0.12m,0.45m,0.03m,26th Sep 06,26th Sep 06
Bomberman 64,N64_b,Hudson Soft,Hudson Soft,6.1,1.04m,0.50m,0.20m,0.31m,0.03m,02nd Dec 97,02nd Dec 97
MotorStorm: Arctic Edge,PSP_b,Sony Computer Entertainment,Bigbig Studios,7.7,1.04m,0.16m,0.58m,0.00m,0.30m,29th Sep 09,29th Sep 09
Brink,X360_b,Bethesda Softworks,Splash Damage,6.8,1.04m,0.59m,0.35m,0.01m,0.09m,10th May 11,10th May 11
Sonic Unleashed,PS3_b,Sega,Sonic Team,5.3,1.03m,0.56m,0.32m,0.01m,0.14m,09th Dec 08,09th Dec 08
Dragon Ball Z: Budokai Tenkaichi 3,Wii_b,Atari,Spike / Bandai Namco Games,7.5,1.03m,0.32m,0.36m,0.26m,0.08m,03rd Dec 07,03rd Dec 07
Shrek 2,GC_b,Activision,"Luxoflux, Inc.",6.9,1.02m,0.73m,0.26m,0.01m,0.03m,28th Apr 04,28th Apr 04
Bulletstorm,X360_b,Electronic Arts,People Can Fly,8.5,1.02m,0.61m,0.32m,0.01m,0.08m,22nd Feb 11,22nd Feb 11
F1 2012,PS3_b,Codemasters,Codemasters Birmingham,7.9,1.01m,0.12m,0.65m,0.05m,0.18m,18th Sep 12,08th Mar 18
EyePet,PS3_b,Sony Computer Entertainment,SCEE London Studio,6.9,1.01m,0.37m,0.52m,0.04m,0.09m,17th Sep 10,17th Sep 10
Prince of Persia,X360_b,Ubisoft,Ubisoft Montreal,8.2,1.01m,0.54m,0.34m,0.02m,0.10m,02nd Dec 08,02nd Dec 08
NBA 2K10,X360_b,2K Sports,Visual Concepts,8.4,1.01m,0.91m,0.02m,0.00m,0.08m,06th Oct 09,06th Oct 09
Breath of Fire III,PS_b,Capcom,Capcom,7.6,1.00m,0.29m,0.19m,0.46m,0.07m,30th Apr 98,30th Apr 98
Rayman Origins,PS3_b,Ubisoft,Ubisoft,8.5,1.00m,0.33m,0.50m,0.01m,0.16m,15th Nov 11,15th Nov 11
Excitebike 64,N64_b,Nintendo,Left Field Productions,8.9,1.00m,0.65m,0.15m,0.19m,0.01m,30th Apr 00,30th Apr 00
Tom Clancy's Splinter Cell: Blacklist,X360_b,Ubisoft,Ubisoft Toronto,8.4,1.00m,0.57m,0.33m,0.01m,0.09m,20th Aug 13,08th Mar 18
Haze,PS3_b,Ubisoft,Free Radical Design,5.6,0.99m,0.49m,0.33m,0.02m,0.15m,20th May 08,20th May 08
DiRT 2,PS3_b,Codemasters,Codemasters,8.8,0.99m,0.27m,0.53m,0.00m,0.19m,08th Sep 09,08th Sep 09
Apollo Justice: Ace Attorney,DS_b,Capcom,Capcom,8,0.99m,0.28m,0.05m,0.64m,0.03m,19th Feb 08,19th Feb 08
Rocksmith 2014,X360_b,Ubisoft,Ubisoft San Francisco,8.4,0.99m,0.73m,0.16m,0.00m,0.10m,22nd Oct 13,08th Mar 18
Army of Two: The 40th Day,X360_b,Electronic Arts,EA Montreal,7.1,0.99m,0.65m,0.24m,0.00m,0.09m,12th Jan 10,12th Jan 10
Tom Clancy's Splinter Cell: Blacklist,PS3_b,Ubisoft,Ubisoft Toronto,8.3,0.98m,0.34m,0.44m,0.06m,0.15m,20th Aug 13,08th Mar 18
Pro Evolution Soccer 2008,PSP_b,Konami,Konami,7.8,0.98m,0.02m,0.53m,0.19m,0.25m,12th Mar 08,12th Mar 08
Sniper Elite V2,PS3_b,505 Games,Rebellion Developments,7.4,0.98m,0.38m,0.40m,0.06m,0.15m,02nd May 12,13th Mar 18
Zoo Tycoon DS,DS_b,THQ,Blue Fang Games,4.6,0.98m,0.86m,0.03m,0.01m,0.07m,11th Oct 05,11th Oct 05
Suikoden III,PS2_b,Konami,KCET,8.6,0.98m,0.29m,0.23m,0.38m,0.08m,24th Oct 02,24th Oct 02
Fire Emblem: The Blazing Blade,GBA_b,Nintendo,Intelligent Systems,8.8,0.97m,0.49m,0.18m,0.29m,0.01m,03rd Nov 03,23rd Jul 21
Dark Cloud 2,PS2_b,Sony Computer Entertainment,Level 5,8.6,0.96m,0.38m,0.25m,0.26m,0.07m,17th Feb 03,17th Feb 03
PilotWings Resort,3DS_b,Nintendo,Monster Games,6.9,0.96m,0.40m,0.36m,0.13m,0.07m,27th Mar 11,27th Mar 11
Harvest Moon 3D: A New Beginning,3DS_b,Natsume,Marvelous,8.2,0.95m,0.41m,0.18m,0.31m,0.06m,06th Nov 12,07th Jan 18
Sonic Unleashed,X360_b,Sega,Sonic Team,5.6,0.95m,0.54m,0.32m,0.00m,0.09m,20th Nov 08,20th Nov 08
Wild ARMs,PS_b,Sony Computer Entertainment,Media.Vision,8.9,0.95m,0.26m,0.17m,0.46m,0.06m,30th Apr 97,30th Apr 97
Lost Planet 2,PS3_b,Capcom,Capcom,6.6,0.95m,0.29m,0.34m,0.20m,0.12m,11th May 10,11th May 10
Driver: San Francisco,PS3_b,Ubisoft,Ubisoft Reflections,8.2,0.95m,0.24m,0.53m,0.01m,0.17m,06th Sep 11,06th Sep 11
White Knight Chronicles: International Edition,PS3_b,Sony Computer Entertainment,Level 5,6.3,0.95m,0.34m,0.16m,0.36m,0.09m,02nd Feb 10,02nd Feb 10
SaGa Frontier 2,PS_b,Square EA,SquareSoft,7.4,0.94m,0.10m,0.07m,0.71m,0.06m,31st Jan 00,31st Jan 00
Kingdom Hearts Re:coded,DS_b,Square Enix,High Horse Entertainment,6.8,0.93m,0.53m,0.09m,0.27m,0.05m,11th Jan 11,11th Jan 11
Bayonetta,X360_b,Sega,PlatinumGames,8.9,0.93m,0.51m,0.25m,0.09m,0.08m,05th Jan 10,05th Jan 10
Operation Flashpoint: Dragon Rising,X360_b,Codemasters,Codemasters,7.4,0.93m,0.36m,0.45m,0.02m,0.10m,06th Oct 09,06th Oct 09
Phoenix Wright: Ace Attorney,DS_b,Capcom,Capcom,8.1,0.93m,0.44m,0.05m,0.39m,0.05m,12th Oct 05,12th Oct 05
Dante's Inferno,X360_b,Electronic Arts,Visceral Games,7,0.92m,0.63m,0.20m,0.02m,0.08m,09th Feb 10,09th Feb 10
Xenoblade Chronicles,Wii_b,Nintendo,Monolith Soft,9.3,0.92m,0.43m,0.25m,0.16m,0.07m,06th Apr 12,06th Apr 12
Crysis 3,X360_b,Electronic Arts,Crytek,7.6,0.92m,0.51m,0.32m,0.01m,0.08m,19th Feb 13,07th Feb 18
Tobal No.1,PS_b,Sony Computer Entertainment,DreamFactory,7.7,0.92m,0.12m,0.08m,0.66m,0.06m,30th Sep 96,30th Sep 96
Blue Dragon,X360_b,Microsoft Game Studios,Mistwalker Corporation / Artoon,7.7,0.92m,0.30m,0.33m,0.21m,0.08m,28th Aug 07,28th Aug 07
EA Sports Grand Slam Tennis,Wii_b,EA Sports,EA Vancouver,7.9,0.92m,0.28m,0.51m,0.02m,0.11m,08th Jun 09,08th Jun 09
Dynasty Warriors 7,PS3_b,Tecmo Koei,Omega Force,5.8,0.91m,0.25m,0.14m,0.46m,0.06m,29th Mar 11,29th Mar 11
Crysis 3,PS3_b,Electronic Arts,Crytek,8.2,0.91m,0.26m,0.48m,0.03m,0.14m,19th Feb 13,13th Mar 18
Tom Clancy's EndWar,X360_b,Ubisoft,Ubisoft Shanghai,8,0.91m,0.58m,0.24m,0.01m,0.09m,04th Nov 08,04th Nov 08
Sonic Riders: Zero Gravity,Wii_b,Sega,Sonic Team,5.8,0.91m,0.48m,0.32m,0.02m,0.09m,08th Jan 08,08th Jan 08
Colin McRae Rally 2.0,PS_b,Codemasters,Codemasters,8.3,0.91m,0.02m,0.80m,0.02m,0.07m,05th Dec 00,05th Dec 00
Operation Flashpoint: Dragon Rising,PS3_b,Codemasters,Codemasters,7.3,0.91m,0.23m,0.46m,0.05m,0.17m,06th Oct 09,06th Oct 09
Homefront,PS3_b,THQ,Kaos Studios,6.6,0.90m,0.32m,0.40m,0.04m,0.15m,15th Mar 11,15th Mar 11
Lost Odyssey,X360_b,Microsoft Game Studios,Mistwalker Corporation / Feelplus Inc.,7.5,0.90m,0.45m,0.26m,0.11m,0.08m,12th Feb 08,12th Feb 08
SOCOM 4: U.S. Navy SEALs,PS3_b,Sony Computer Entertainment,Zipper Interactive,7,0.90m,0.66m,0.12m,0.04m,0.09m,19th Apr 11,19th Apr 11
Resistance: Retribution,PSP_b,Sony Computer Entertainment,SCEA Bend Studio,8,0.90m,0.27m,0.36m,0.05m,0.22m,17th Mar 09,17th Mar 09
Spider-Man 3,PS2_b,Activision,Vicarious Visions,4.4,0.90m,0.74m,0.03m,0.01m,0.12m,04th May 07,04th May 07
Pure,PS3_b,Disney Interactive Studios,Black Rock Studio,7,0.89m,0.42m,0.33m,0.00m,0.14m,16th Sep 08,16th Sep 08
Ni no Kuni II: Revenant Kingdom,PS4_b,Namco Bandai Games,Level 5,8.7,0.89m,0.33m,0.31m,0.12m,0.13m,23rd Mar 18,28th Feb 18
Fire Emblem: The Sacred Stones,GBA_b,Nintendo,Intelligent Systems,8.4,0.89m,0.42m,0.16m,0.30m,0.02m,23rd May 05,23rd May 05
Dissidia 012: Duodecim Final Fantasy,PSP_b,Square Enix,Square Enix,8.3,0.89m,0.21m,0.13m,0.46m,0.09m,22nd Mar 11,22nd Mar 11
Resident Evil: Revelations,3DS_b,Capcom,Capcom,7.8,0.89m,0.30m,0.23m,0.30m,0.05m,07th Feb 12,07th Feb 12
Samba De Amigo,Wii_b,Sega,Gearbox Software,6.7,0.89m,0.41m,0.37m,0.01m,0.09m,23rd Sep 08,23rd Sep 08
F1 2010,X360_b,Codemasters,Codemasters Birmingham,8.4,0.88m,0.18m,0.59m,0.01m,0.10m,21st Sep 10,21st Sep 10
Call of Juarez: Bound in Blood,PS3_b,Ubisoft,Techland,7.7,0.88m,0.35m,0.38m,0.01m,0.15m,30th Jun 09,30th Jun 09
The Lord of the Rings: War in the North,X360_b,Warner Bros. Interactive,Snowblind Studios,6.6,0.88m,0.55m,0.24m,0.00m,0.08m,01st Nov 11,01st Nov 11
Sonic Chronicles: The Dark Brotherhood,DS_b,Sega,BioWare Corp.,7.3,0.88m,0.50m,0.29m,0.01m,0.08m,30th Sep 08,30th Sep 08
WWE SmackDown vs. Raw 2011,X360_b,THQ,JAKKS Pacific,7.1,0.88m,0.44m,0.35m,0.00m,0.08m,26th Oct 10,26th Oct 10
Metal Gear Ac!d,PSP_b,Konami,Konami,7.4,0.87m,0.32m,0.26m,0.12m,0.17m,22nd Mar 05,22nd Mar 05
Michael Jackson: The Experience,X360_b,Ubisoft,Ubisoft Montreal,5.6,0.87m,0.62m,0.18m,0.00m,0.07m,12th Apr 11,12th Apr 11
Sleeping Dogs,X360_b,Square Enix,United Front Games,7.9,0.87m,0.38m,0.40m,0.01m,0.08m,14th Aug 12,07th Mar 18
Super Bomberman R,NS_b,Konami Digital Entertainment,HexaDrive,6.3,0.87m,0.31m,0.32m,0.19m,0.06m,03rd Mar 17,24th Mar 18
Paper Mario: Color Splash,WiiU_b,Nintendo,Intelligent Systems,7.4,0.87m,0.35m,0.37m,0.08m,0.06m,07th Oct 16,31st Mar 18
GRID,X360_b,Codemasters,Codemasters,8.7,0.87m,0.33m,0.44m,0.01m,0.09m,03rd Jun 08,03rd Jun 08
Red Faction: Guerrilla,X360_b,THQ,Volition Inc.,8.4,0.87m,0.48m,0.29m,0.01m,0.09m,02nd Jun 09,02nd Jun 09
Mario Party: Star Rush,3DS_b,Nintendo,"Nd Cube Co., Ltd.",6.2,0.87m,0.25m,0.37m,0.20m,0.05m,04th Nov 16,19th Nov 18
Brothers In Arms: Hell's Highway,X360_b,Ubisoft,Gearbox Software,7.6,0.87m,0.47m,0.30m,0.00m,0.09m,23rd Sep 08,23rd Sep 08
Vagrant Story,PS_b,Square EA,SquareSoft,9.3,0.87m,0.30m,0.20m,0.30m,0.06m,15th May 00,15th May 00
Mercenaries 2: World in Flames,PS3_b,Electronic Arts,Pandemic Studios,6,0.87m,0.29m,0.40m,0.02m,0.16m,31st Aug 08,31st Aug 08
Endless Ocean: Blue World,Wii_b,Nintendo,Arika,7.6,0.87m,0.46m,0.22m,0.12m,0.06m,22nd Feb 10,22nd Feb 10
Wii Fit U,WiiU_b,Nintendo,Nintendo,7.2,0.86m,0.35m,0.24m,0.21m,0.06m,10th Jan 14,27th Jan 18
Winning Eleven: Pro Evolution Soccer 2007,PSP_b,Konami,Konami Computer Entertainment Tokyo,8.2,0.86m,0.01m,0.72m,0.12m,0.01m,06th Feb 07,06th Feb 07
2010 FIFA World Cup South Africa,X360_b,EA Sports,EA Canada,8.4,0.85m,0.32m,0.42m,0.02m,0.09m,27th Apr 10,27th Apr 10
Ninja Gaiden Sigma 2,PS3_b,Tecmo Koei,Team Ninja,8.5,0.85m,0.52m,0.16m,0.08m,0.10m,29th Sep 09,29th Sep 09
Street Fighter Alpha 2,PS_b,Capcom,Capcom,8.2,0.85m,0.14m,0.09m,0.57m,0.06m,30th Sep 96,30th Sep 96
Dragon Ball Z: Burst Limit,PS3_b,Atari,Dimps Corporation,7.3,0.85m,0.22m,0.34m,0.18m,0.12m,10th Jun 08,10th Jun 08
Army of Two: The 40th Day,PS3_b,Electronic Arts,EA Montreal,7.1,0.85m,0.44m,0.27m,0.01m,0.13m,12th Jan 10,12th Jan 10
The House of the Dead: Overkill,Wii_b,Sega,Headstrong Games,7.9,0.85m,0.44m,0.30m,0.02m,0.09m,10th Feb 09,10th Feb 09
Darksiders II,PS3_b,THQ,Vigil Games,8.3,0.85m,0.35m,0.37m,0.01m,0.13m,14th Aug 12,14th Mar 18
Sniper Elite V2,X360_b,505 Games,Rebellion Developments,7,0.84m,0.46m,0.28m,0.02m,0.08m,01st May 12,13th Mar 18
Xenoblade Chronicles X,WiiU_b,Nintendo,Monolith Soft,8.1,0.84m,0.34m,0.29m,0.15m,0.06m,04th Dec 15,06th Jan 18
NBA 2K10,PS3_b,2K Sports,Visual Concepts,8.2,0.84m,0.75m,0.01m,0.01m,0.07m,06th Oct 09,06th Oct 09
Skate 2,PS3_b,Electronic Arts,EA Black Box,8.2,0.84m,0.46m,0.25m,0.01m,0.12m,21st Jan 09,21st Jan 09
ZombiU,WiiU_b,Ubisoft,Ubisoft Montpellier,6.9,0.84m,0.35m,0.37m,0.05m,0.07m,18th Nov 12,02nd Aug 20
Rogue Galaxy,PS2_b,Sony Computer Entertainment,Level 5,8.3,0.84m,0.24m,0.16m,0.39m,0.05m,30th Jan 07,30th Jan 07
Time Crisis 4,PS3_b,Namco Bandai,Bandai Namco Games,6.1,0.83m,0.32m,0.32m,0.05m,0.14m,20th Nov 07,20th Nov 07
Stranglehold,X360_b,Midway Games,Midway Games,8,0.83m,0.41m,0.33m,0.01m,0.09m,05th Sep 07,05th Sep 07
Dragon Age II,PS3_b,Electronic Arts,BioWare Corp.,7.7,0.83m,0.40m,0.26m,0.05m,0.12m,08th Mar 11,08th Mar 11
Sniper: Ghost Warrior,PS3_b,City Interactive,City Interactive,4.5,0.83m,0.30m,0.35m,0.04m,0.14m,28th Jun 11,28th Jun 11
Dragon Ball: Raging Blast 2,PS3_b,Namco Bandai,Spike,6,0.83m,0.43m,0.19m,0.11m,0.10m,02nd Nov 10,02nd Nov 10
Sid Meier's Civilization Revolution,X360_b,2K Games,Firaxis Games,8.4,0.83m,0.58m,0.17m,0.00m,0.07m,08th Jul 08,08th Jul 08
The Lord of the Rings: War in the North,PS3_b,Warner Bros. Interactive,Snowblind Studios,6.5,0.82m,0.25m,0.43m,0.01m,0.12m,01st Nov 11,01st Nov 11
Patapon,PSP_b,Sony Computer Entertainment,Pyramid/JAPAN Studio,8.7,0.82m,0.33m,0.25m,0.07m,0.17m,26th Feb 08,26th Feb 08
The Crew 2,PS4_b,Ubisoft,Ivory Tower,6.5,0.82m,0.22m,0.42m,0.05m,0.12m,29th Jun 18,19th Jul 18
Professor Layton vs Ace Attorney,3DS_b,Nintendo,Level 5,8.1,0.82m,0.20m,0.27m,0.30m,0.04m,29th Aug 14,07th Jan 18
Tales of Destiny II,PS_b,Namco,Telenet Japan / Wolfteam,7.5,0.81m,0.06m,0.04m,0.66m,0.05m,10th Sep 01,10th Sep 01
Shaun White Snowboarding,X360_b,Ubisoft,Ubisoft Montreal,6.2,0.81m,0.48m,0.25m,0.00m,0.08m,16th Nov 08,16th Nov 08
Pro Evolution Soccer 2010,X360_b,Konami,Konami,7,0.81m,0.12m,0.58m,0.03m,0.08m,03rd Nov 09,03rd Nov 09
Golden Sun: Dark Dawn,DS_b,Nintendo,Camelot Software Planning,8,0.81m,0.53m,0.10m,0.13m,0.05m,29th Nov 10,29th Nov 10
DiRT 2,X360_b,Codemasters,Codemasters,8.8,0.80m,0.32m,0.39m,0.00m,0.09m,08th Sep 09,08th Sep 09
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU_b,Nintendo,Sega Sports R&D,5.9,0.80m,0.37m,0.23m,0.14m,0.06m,15th Nov 13,31st Jan 18
PES 2009: Pro Evolution Soccer,PSP_b,Konami,Konami,7.3,0.80m,0.04m,0.33m,0.26m,0.17m,11th Nov 08,11th Nov 08
Dead Island: Riptide,X360_b,Deep Silver,Techland,5.6,0.79m,0.44m,0.27m,0.01m,0.07m,23rd Apr 13,15th Mar 18
Darksiders II,X360_b,THQ,Vigil Games,8.6,0.79m,0.45m,0.27m,0.00m,0.07m,14th Aug 12,07th Feb 18
The Godfather II,X360_b,Electronic Arts,EA Redwood Shores,6.2,0.79m,0.47m,0.23m,0.01m,0.08m,07th Apr 09,07th Apr 09
MadWorld,Wii_b,Sega,PlatinumGames,8.1,0.78m,0.45m,0.24m,0.02m,0.07m,10th Mar 09,10th Mar 09
Too Human,X360_b,Microsoft Game Studios,Silicon Knights,6.5,0.78m,0.38m,0.30m,0.03m,0.08m,19th Aug 08,19th Aug 08
Naruto Shippuden: Ultimate Ninja Storm 2,X360_b,Namco Bandai,CyberConnect2,7.6,0.78m,0.43m,0.27m,0.01m,0.07m,19th Oct 10,19th Oct 10
Tom Clancy's Splinter Cell: Double Agent,X360_b,Ubisoft,Ubisoft Shanghai,8.5,0.78m,0.67m,0.04m,0.01m,0.06m,17th Oct 06,17th Oct 06
Sid Meier's Civilization Revolution,PS3_b,2K Games,Firaxis Games,8.4,0.78m,0.49m,0.19m,0.01m,0.09m,08th Jul 08,08th Jul 08
Need for Speed: ProStreet,PSP_b,Electronic Arts,EA Black Box,5.6,0.78m,0.24m,0.33m,0.01m,0.19m,18th Feb 08,18th Feb 08
Ghost Squad,Wii_b,Sega,Polygon Magic,7,0.77m,0.42m,0.21m,0.08m,0.07m,20th Nov 07,20th Nov 07
The Sims 3,3DS_b,Electronic Arts,The Sims Studio,5.6,0.77m,0.30m,0.38m,0.03m,0.07m,27th Mar 11,27th Mar 11
Dragon Ball: Raging Blast,PS3_b,Namco Bandai,Spike,5.6,0.77m,0.37m,0.19m,0.11m,0.10m,10th Nov 09,10th Nov 09
Need for Speed: Undercover,PSP_b,Electronic Arts,Piranha Games,5.4,0.77m,0.23m,0.32m,0.03m,0.19m,17th Nov 08,17th Nov 08
Donkey Kong Country 3,GBA_b,Nintendo,Rare Ltd.,7.5,0.77m,0.45m,0.17m,0.14m,0.01m,07th Nov 05,07th Nov 05
Pok̩mon Dash,DS_b,Nintendo,Ambrella,5.3,0.77m,0.21m,0.14m,0.38m,0.04m,14th Mar 05,14th Mar 05
Resident Evil: Revelations,PS3_b,Capcom,Capcom,7.6,0.76m,0.14m,0.32m,0.22m,0.09m,21st May 13,16th Mar 18
Banjo-Kazooie: Nuts & Bolts,X360_b,Microsoft Game Studios,Rare Ltd.,8,0.76m,0.32m,0.35m,0.00m,0.08m,12th Nov 08,12th Nov 08
Pok̩Park 2: Wonders Beyond,Wii_b,Nintendo,Creatures Inc.,6.5,0.76m,0.26m,0.19m,0.27m,0.04m,27th Feb 12,16th Mar 18
Marvel vs. Capcom 2,PS2_b,Capcom,Capcom,8.2,0.76m,0.31m,0.24m,0.13m,0.08m,19th Nov 02,19th Nov 02
Lost Planet 2,X360_b,Capcom,Capcom,6.5,0.76m,0.38m,0.24m,0.08m,0.06m,11th May 10,11th May 10
Kane & Lynch: Dead Men,X360_b,Eidos Interactive,IO Interactive,6.8,0.76m,0.36m,0.31m,0.01m,0.08m,13th Nov 07,13th Nov 07
LEGO City Undercover,PS4_b,Warner Bros. Interactive Entertainment,TT Fusion,8,0.75m,0.17m,0.46m,0.01m,0.12m,04th Apr 17,24th May 18
Genji: Days of the Blade,PS3_b,Sony Computer Entertainment,Game Republic,5,0.75m,0.18m,0.38m,0.06m,0.14m,14th Nov 06,14th Nov 06
Kane & Lynch: Dead Men,PS3_b,Eidos Interactive,IO Interactive,6.8,0.75m,0.29m,0.32m,0.01m,0.13m,13th Nov 07,13th Nov 07
Zone of the Enders,PS2_b,Konami,Konami Computer Entertainment Japan,7.5,0.75m,0.30m,0.24m,0.13m,0.08m,26th Mar 01,26th Mar 01
FIFA 19,NS_b,Electronic Arts,EA Sports,5.9,0.75m,0.18m,0.47m,0.06m,0.05m,28th Sep 18,12th Sep 18
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2_b,Capcom,Capcom,7.9,0.75m,0.22m,0.17m,0.30m,0.06m,06th Nov 01,06th Nov 01
Turok,X360_b,Touchstone,Propaganda Games,6.6,0.75m,0.46m,0.20m,0.01m,0.07m,05th Feb 08,05th Feb 08
Ace Combat: Assault Horizon,PS3_b,Namco Bandai,Project ACES,7.5,0.74m,0.30m,0.16m,0.22m,0.07m,11th Oct 11,11th Oct 11
The Godfather II,PS3_b,Electronic Arts,EA Redwood Shores,6.4,0.74m,0.41m,0.21m,0.01m,0.10m,07th Apr 09,07th Apr 09
Red Faction: Guerrilla,PS3_b,THQ,Volition Inc.,8.6,0.74m,0.33m,0.27m,0.02m,0.12m,02nd Jun 09,02nd Jun 09
Tales of Vesperia,X360_b,Namco Bandai,Namco Tales Studio,8.1,0.74m,0.32m,0.18m,0.19m,0.05m,26th Aug 08,26th Aug 08
Resonance of Fate,PS3_b,Sega,tri-Ace,7.5,0.74m,0.20m,0.22m,0.24m,0.08m,16th Mar 10,16th Mar 10
Sonic Forces,NS_b,Sega,Sonic Team,5.4,0.74m,0.39m,0.27m,0.01m,0.06m,07th Nov 17,11th Feb 18
Brink,PS3_b,Bethesda Softworks,Splash Damage,7.1,0.73m,0.29m,0.32m,0.01m,0.12m,10th May 11,10th May 11
Star Ocean: The Last Hope International,PS3_b,Square Enix,tri-Ace,8.1,0.73m,0.28m,0.15m,0.22m,0.07m,09th Feb 10,09th Feb 10
Katamari Damacy,PS2_b,Namco,Namco,8.5,0.73m,0.47m,0.02m,0.17m,0.08m,21st Sep 04,21st Sep 04
Monster Hunter Generations Ultimate,NS_b,Capcom,Capcom,7.7,0.72m,0.27m,0.14m,0.27m,0.04m,28th Aug 18,30th Aug 18
Kirby: Canvas Curse,DS_b,Nintendo,HAL Laboratory,8.9,0.72m,0.36m,0.00m,0.32m,0.03m,13th Jun 05,13th Jun 05
