Game,Console,Publisher,Developer,Critic Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update_ Real
Need for Speed Carbon,X360_b,Electronic Arts,EA Black Box,7.9,1.65m,0.76m,0.69m,0.02m,0.18m,31st Oct 06,31st Oct 06
Army of Two,X360_b,Electronic Arts,EA Montreal,6.7,1.64m,1.09m,0.37m,0.02m,0.16m,07th Mar 08,03rd Feb 18
Ape Escape,PS_b,Sony Computer Entertainment,SCE Japan Studio,9.3,1.63m,0.71m,0.48m,0.32m,0.11m,31st May 99,16th Sep 18
Kinectimals,X360_b,Microsoft Game Studios,Frontier Studio,7.5,1.62m,1.02m,0.46m,0.00m,0.14m,04th Nov 10,04th Nov 10
Uncharted: Golden Abyss,PSV_b,Sony Computer Entertainment,SCEA Bend Studio / Naughty Dog,7.9,1.62m,0.53m,0.71m,0.13m,0.25m,15th Feb 12,15th Feb 12
The Order: 1886,PS4_b,Sony Computer Entertainment,Ready at Dawn,6.2,1.62m,0.44m,0.86m,0.07m,0.25m,20th Feb 15,02nd Jan 18
Rage,X360_b,Bethesda Softworks,id Software,7.9,1.60m,0.82m,0.60m,0.03m,0.15m,04th Oct 11,04th Oct 11
Just Cause 2,X360_b,Square Enix,Avalanche Studios,8,1.60m,0.59m,0.83m,0.02m,0.17m,23rd Mar 10,23rd Mar 10
Sonic Generations,PS3_b,Sega,Sonic Team,7.3,1.59m,0.60m,0.72m,0.02m,0.25m,01st Nov 11,01st Nov 11
Far Cry 2,X360_b,Ubisoft,Ubisoft Montreal,8.5,1.59m,0.72m,0.69m,0.02m,0.18m,21st Oct 08,21st Oct 08
Soul Blade,PS_b,Namco,Namco,8.6,1.59m,0.61m,0.41m,0.46m,0.10m,01st Jan 97,01st Jan 97
Pro Evolution Soccer 2008,PS3_b,Konami,Konami,7.1,1.59m,0.04m,1.10m,0.32m,0.13m,12th Mar 08,12th Mar 08
Devil May Cry 4,PS3_b,Capcom,Capcom,8.2,1.58m,0.58m,0.45m,0.34m,0.20m,05th Feb 08,05th Feb 08
Pro Evolution Soccer 2010,PS2_b,Konami,Konami,7.2,1.57m,0.10m,0.18m,0.12m,1.16m,10th Nov 09,10th Nov 09
BioShock 2,PS3_b,2K Games,2K Marin,8.5,1.55m,0.85m,0.46m,0.02m,0.22m,09th Feb 10,09th Feb 10
007: The World is Not Enough,N64_b,Electronic Arts,Eurocom Entertainment Software,7.4,1.55m,1.13m,0.38m,0.02m,0.03m,17th Oct 00,17th Oct 00
Go Vacation,Wii_b,Namco Bandai,Namco Bandai Games,7,1.54m,0.42m,0.66m,0.33m,0.13m,11th Oct 11,11th Oct 11
Dark Cloud,PS2_b,Sony Computer Entertainment,Level 5,8.2,1.54m,0.83m,0.44m,0.08m,0.19m,28th May 01,28th May 01
Forza Motorsport 7,XOne_b,Microsoft Studios,Turn 10 Studios,8.9,1.52m,0.58m,0.81m,0.01m,0.12m,03rd Oct 17,12th Jan 18
Call of Duty 3,PS3_b,Activision,Treyarch,7.7,1.51m,0.60m,0.63m,0.03m,0.26m,15th Nov 06,15th Nov 06
SoulCalibur II,GC_b,Namco,Namco,9.2,1.50m,0.99m,0.32m,0.11m,0.08m,27th Aug 03,27th Aug 03
Metal Gear Rising: Revengeance,PS3_b,Konami Digital Entertainment,PlatinumGames,9,1.50m,0.47m,0.41m,0.44m,0.18m,19th Feb 13,12th Jan 18
WWF No Mercy,N64_b,THQ,Aki Corp.,9.1,1.50m,1.20m,0.27m,0.02m,0.02m,17th Nov 00,17th Nov 00
