Game,Console,Publisher,Developer,Critic Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last_Update__Real
Far Cry 4,PS4_b,Ubisoft,Ubisoft Montreal,8.4,4060000,1180000,2140000,110000,630000,18th Nov 14,1160
Carnival Games,Wii_b,Global Star Software,Cat Daddy Games,4.2,4060000,2120000,1470000,50000,420000,28th Aug 07,0
World Soccer Winning Eleven 9,PS2_b,Konami,Konami Computer Entertainment Tokyo,8.9,4060000,120000,2260000,900000,770000,07th Feb 06,0
Forza Motorsport 2,X360_b,Microsoft Game Studios,Turn 10 Studios,9.1,4050000,2350000,1270000,30000,410000,29th May 07,0
Tekken Tag Tournament,PS2_b,Namco,Namco,8.7,4050000,1680000,1510000,510000,350000,25th Oct 00,0
Fallout 3,PS3_b,Bethesda Softworks,Bethesda Game Studios,8.8,4000000,2180000,1150000,70000,610000,28th Oct 08,0
NBA 2K16,PS4_b,2K Sports,Visual Concepts,8.7,3980000,2560000,660000,50000,710000,29th Sep 15,910
Far Cry 5,PS4_b,Ubisoft,Ubisoft,7.9,3950000,1440000,1730000,150000,620000,27th Mar 18,-28
Battlefield 4,PS4_b,Electronic Arts,EA DICE,8.3,3940000,1400000,1740000,190000,620000,15th Nov 13,1514
Assassin's Creed IV: Black Flag,PS3_b,Ubisoft,Ubisoft Montreal,8.7,3940000,1340000,1860000,130000,620000,29th Oct 13,1596
Tony Hawk's Underground,PS2_b,Activision,Neversoft Entertainment,8.7,3900000,2290000,1170000,10000,420000,27th Oct 03,0
Sports Champions,PS3_b,Sony Computer Entertainment,SCE San Diego Studio,7.6,3880000,2150000,1130000,100000,500000,17th Sep 10,0
World Soccer Winning Eleven 8 International,PS2_b,Konami,Konami Computer Entertainment Tokyo,9.3,3850000,160000,1890000,1120000,680000,01st Feb 05,0
Ratchet & Clank: Size Matters,PSP_b,Sony Computer Entertainment,High Impact Games,8.5,3750000,1400000,1400000,100000,860000,13th Feb 07,0
FIFA Soccer 2005,PS2_b,EA Sports,EA Canada,8.4,3700000,580000,2480000,40000,590000,12th Oct 04,0
Tony Hawk's Pro Skater 4,PS2_b,Activision,Neversoft Entertainment,9.6,3670000,2130000,1180000,10000,350000,23rd Oct 02,0
MySims,DS_b,Electronic Arts,EA Redwood Shores,6.7,3660000,1580000,1600000,80000,400000,18th Sep 07,0
SOCOM: U.S. Navy SEALs,PS2_b,Sony Computer Entertainment,Zipper Interactive,8,3650000,2530000,810000,60000,240000,27th Aug 02,0
Battlefield 4,PS3_b,Electronic Arts,EA DICE,8.7,3640000,1310000,1500000,270000,550000,29th Oct 13,1526
Jak and Daxter: The Precursor Legacy,PS2_b,Sony Computer Entertainment,Naughty Dog,9,3640000,2080000,1090000,150000,330000,04th Dec 01,0
Pro Evolution Soccer 2008,PS2_b,Konami,Konami,8.2,3630000,50000,0,640000,2930000,11th Mar 08,0
FIFA Soccer 10,PS3_b,EA Sports,EA Canada,9,3630000,600000,2460000,50000,520000,20th Oct 09,0
Star Wars Battlefront,PS2_b,LucasArts,Pandemic Studios,8.1,3610000,1930000,1220000,30000,440000,20th Sep 04,0
Assassin's Creed Syndicate,PS4_b,Ubisoft,Ubisoft Quebec,8.6,3600000,900000,2060000,80000,550000,23rd Oct 15,923
Star Wars Battlefront II,PS2_b,LucasArts,Pandemic Studios,8.5,3590000,2180000,1020000,30000,370000,01st Nov 05,0
Cooking Mama 2: Dinner With Friends,DS_b,Majesco,Office Create,6.9,3580000,1600000,1490000,100000,390000,13th Nov 07,0
Battlefield 4,X360_b,Electronic Arts,EA DICE,8.7,3540000,2160000,1050000,20000,320000,29th Oct 13,1526
Grand Theft Auto: Liberty City Stories,PS2_b,Rockstar Games,Rockstar Leeds,8.3,3540000,1560000,1400000,70000,500000,06th Jun 06,0
The Getaway,PS2_b,Sony Computer Entertainment,Team Soho,7.7,3540000,1230000,1770000,50000,490000,19th Jan 03,0
Tomb Raider III: Adventures of Lara Croft,PS_b,Eidos Interactive,Core Design Ltd.,8.2,3540000,1660000,1580000,120000,180000,21st Nov 98,0
Batman: Arkham Asylum,X360_b,Eidos Interactive,Rocksteady Studios,9.1,3540000,2240000,950000,20000,330000,25th Aug 09,0
Assassin's Creed: Brotherhood,X360_b,Ubisoft,Ubisoft Montreal,9.1,3530000,2870000,390000,30000,250000,16th Nov 10,0
LEGO Star Wars: The Video Game,PS2_b,Eidos Interactive,Traveller's Tales,7.9,3530000,1980000,1140000,10000,410000,02nd Apr 05,0
Resident Evil 5,X360_b,Capcom,Capcom,8.6,3530000,2130000,930000,120000,340000,13th Mar 09,0
NBA 2K17,PS4_b,2K Sports,Visual Concepts,9,3520000,2280000,590000,30000,630000,16th Sep 16,558
FIFA Soccer 11,X360_b,EA Sports,EA Canada,8.7,3520000,710000,2390000,20000,400000,28th Sep 10,0
FIFA Soccer 2004,PS2_b,EA Sports,EA Canada,8,3490000,590000,2360000,40000,510000,04th Nov 03,0
Battlefield: Bad Company 2,X360_b,Electronic Arts,EA Digital Illusions CE,9,3480000,2110000,1010000,40000,330000,02nd Mar 10,0
Borderlands,X360_b,2K Games,Gearbox Software,8.3,3480000,2430000,720000,30000,300000,20th Oct 09,0
Mario & Sonic at the Olympic Winter Games,DS_b,Sega,Sega,7.6,3470000,1210000,1630000,270000,370000,13th Oct 09,0
Guitar Hero: On Tour,DS_b,Activision,Vicarious Visions,7.1,3460000,2100000,1010000,10000,350000,22nd Jun 08,0
Tekken 4,PS2_b,Namco,Namco,7.9,3440000,1550000,1270000,330000,290000,23rd Sep 02,0
LittleBigPlanet 2,PS3_b,Sony Computer Entertainment,Media Molecule,9.1,3430000,1830000,1070000,60000,470000,18th Jan 11,0
Spider-Man 2,PS2_b,Activision,Treyarch,7.9,3410000,1750000,1200000,20000,430000,28th Jun 04,0
Crash Bash,PS_b,Sony Computer Entertainment,Eurocom Entertainment Software,6.8,3390000,1560000,1470000,190000,170000,06th Nov 00,0
The Elder Scrolls V: Skyrim Special Edition,PS4_b,Bethesda Softworks,Bethesda Softworks,8.3,3360000,1240000,1500000,80000,540000,28th Oct 16,520
Assassin's Creed IV: Black Flag,X360_b,Ubisoft,Ubisoft Montreal,8.5,3340000,1900000,1140000,10000,300000,29th Oct 13,1604
NBA 2K18,PS4_b,2K Sports,Visual Concepts,8.1,3340000,2130000,570000,40000,590000,19th Sep 17,195
Max Payne,PS2_b,Rockstar Games,Remedy Entertainment,8.1,3310000,1990000,1050000,50000,220000,06th Dec 01,0
The Lord of the Rings: The Return of the King,PS2_b,Electronic Arts,"Hypnos Entertainment, Inc.",8.4,3280000,1500000,1280000,50000,460000,05th Nov 03,0
L.A. Noire,PS3_b,Rockstar Games,Team Bondi,9.1,3210000,1290000,1310000,120000,490000,15th Nov 11,0
WWF SmackDown! 2: Know Your Role,PS_b,THQ,Yuke's,8.7,3200000,1760000,1210000,70000,160000,21st Nov 00,0
Assassin's Creed IV: Black Flag,PS4_b,Ubisoft,Ubisoft Montreal,8.3,3190000,1070000,1550000,60000,510000,15th Nov 13,1579
Assassin's Creed Odyssey,PS4_b,Ubisoft,Ubisoft Quebec,9.5,3180000,1180000,1400000,90000,510000,05th Oct 18,43
Fallout: New Vegas,PS3_b,Bethesda Softworks,Obsidian Entertainment,8.2,3170000,1540000,1040000,100000,490000,19th Oct 10,0
The Elder Scrolls IV: Oblivion,PS3_b,Bethesda Softworks,4J Studios,9.3,3120000,1690000,860000,140000,440000,20th Mar 07,0
Tom Clancy's Ghost Recon Wildlands,PS4_b,Ubisoft,Ubisoft Paris,7,3120000,1070000,1350000,220000,470000,07th Mar 17,390
NBA 2K13,X360_b,2K Sports,Visual Concepts,8.6,3110000,2620000,210000,10000,280000,02nd Oct 12,1918
Mass Effect 2,X360_b,Electronic Arts,BioWare Edmonton,9.5,3100000,1990000,810000,30000,270000,26th Jan 10,0
Saints Row 2,X360_b,THQ,Volition Inc.,7.9,3070000,1980000,790000,20000,280000,14th Oct 08,3455
Battlefield: Bad Company 2,PS3_b,Electronic Arts,EA Digital Illusions CE,8.9,2960000,1330000,1110000,80000,440000,02nd Mar 10,0
Street Fighter IV,X360_b,Capcom,Capcom / Dimps Corporation,9.3,2950000,1830000,700000,150000,260000,17th Feb 09,0
Mass Effect,X360_b,Microsoft Game Studios,BioWare Edmonton,9.2,2910000,1830000,790000,30000,270000,20th Nov 07,0
Cooking Mama: Cook Off,Wii_b,Majesco,Office Create,5.9,2890000,1410000,1120000,50000,300000,20th Mar 07,0
Mafia III,PS4_b,2K Games,Hangar 13,6.9,2870000,720000,1670000,40000,440000,07th Oct 16,542
Colin McRae Rally,PS_b,Sony Computer Entertainment,Codemasters,7.9,2870000,90000,2430000,120000,220000,31st Jan 00,0
The Elder Scrolls III: Morrowind,XB_b,Bethesda Softworks,Bethesda Softworks,8.2,2860000,2090000,630000,30000,110000,06th Jun 02,0
Assassin's Creed: Brotherhood,PS3_b,Ubisoft,Ubisoft Montreal,9.1,2850000,1870000,570000,110000,300000,16th Nov 10,0
BioShock,X360_b,2K Games,2K Australia / 2K Boston,9.6,2830000,1650000,850000,50000,280000,21st Aug 07,0
Finding Nemo,GBA_b,THQ,Vicarious Visions,7,2820000,1590000,1050000,40000,140000,10th May 03,0
Medal of Honor,PS3_b,Electronic Arts,EA Los Angeles,7,2820000,1280000,1040000,70000,430000,12th Oct 10,0
Gran Turismo (PSP),PSN_b,Sony Computer Entertainment,Polyphony Digital,7.8,2820000,430000,910000,310000,1160000,01st Oct 09,0
Need for Speed: Hot Pursuit,PS3_b,Electronic Arts,Criterion Games,8.9,2810000,1050000,1240000,30000,490000,16th Nov 10,0
Killzone 3,PS3_b,Sony Computer Entertainment,Guerrilla Games,8.2,2810000,1460000,870000,90000,380000,22nd Feb 11,0
Saints Row: The Third,X360_b,THQ,Volition Inc.,8.3,2770000,1260000,1140000,70000,300000,15th Nov 11,0
L.A. Noire,X360_b,Rockstar Games,Team Bondi,9.1,2730000,1550000,920000,20000,240000,15th Nov 11,0
Far Cry: Primal,PS4_b,Ubisoft,Ubisoft Montreal,7.2,2730000,630000,1610000,70000,410000,23rd Feb 16,770
Need for Speed (2015),PS4_b,Electronic Arts,Ghost Games,7,2720000,590000,1660000,60000,410000,03rd Nov 15,881
Call of Duty 3,X360_b,Activision,Treyarch,8,2700000,1490000,920000,20000,270000,07th Nov 06,0
LEGO Star Wars II: The Original Trilogy,PS2_b,LucasArts,Traveller's Tales,8.4,2690000,1850000,640000,10000,190000,12th Sep 06,0
Call of Duty 2: Big Red One,PS2_b,Activision,Treyarch,8.5,2670000,1480000,920000,10000,260000,01st Nov 05,0
Medal of Honor Heroes,PSP_b,Electronic Arts,Team Fusion,6.7,2660000,860000,1110000,10000,670000,20th Oct 06,0
Need for Speed: Shift,PS3_b,Electronic Arts,Slightly Mad Studios,8.2,2650000,690000,1400000,40000,520000,15th Sep 09,0
Medal of Honor,X360_b,Electronic Arts,EA Los Angeles,7.3,2640000,1580000,800000,40000,220000,12th Oct 10,0
NBA 2K12,X360_b,2K Sports,Visual Concepts,9.1,2640000,2320000,140000,10000,170000,04th Oct 11,0
NBA 2K13,PS3_b,2K Sports,Visual Concepts,8.9,2630000,1740000,460000,50000,390000,02nd Oct 12,1918
FIFA Soccer 10,X360_b,EA Sports,EA Canada,8.9,2620000,600000,1790000,10000,230000,20th Oct 09,0
LittleBigPlanet,PSP_b,Sony Computer Entertainment,SCEE Cambridge,8.8,2610000,650000,1270000,10000,680000,17th Nov 09,3301
Grand Theft Auto: Episodes from Liberty City,X360_b,Rockstar Games,Rockstar North,9,2600000,1080000,1220000,30000,270000,29th Oct 09,0
FIFA Soccer 09,PS3_b,Electronic Arts,EA Canada,8.6,2590000,490000,1630000,40000,430000,14th Oct 08,0
WWE SmackDown vs. RAW 2007,PS2_b,THQ,Yuke's,8,2580000,1400000,880000,30000,260000,14th Nov 06,0
Dragon Age: Origins,X360_b,Electronic Arts,BioWare Edmonton,8.5,2560000,1760000,550000,30000,220000,03rd Nov 09,0
FIFA 16,PS3_b,EA Sports,EA Canada,9,2550000,430000,1680000,50000,380000,22nd Sep 15,921
Crazy Taxi,PS2_b,Acclaim Entertainment,Hitmaker,8.2,2520000,1130000,1120000,60000,220000,14th May 01,0
Tomb Raider (2013),PS3_b,Square Enix,Crystal Dynamics,8.9,2510000,600000,1450000,80000,380000,05th Mar 13,1766
Midnight Club: Los Angeles,PS3_b,Rockstar Games,Rockstar San Diego,8.3,2500000,1590000,540000,50000,330000,20th Oct 08,0
Saints Row: The Third,PS3_b,THQ,Volition Inc.,8.3,2480000,860000,1060000,180000,370000,15th Nov 11,0
Pure,X360_b,Disney Interactive Studios,Black Rock Studio,8.3,2470000,1380000,840000,0,250000,16th Sep 08,0
Resistance 2,PS3_b,Sony Computer Entertainment,Insomniac Games,8.5,2470000,1150000,840000,100000,380000,04th Nov 08,0
Sonic Adventure,DC_b,Sega,Sonic Team,8.9,2420000,1260000,610000,460000,80000,09th Sep 99,0
Tom Clancy's Rainbow Six: Vegas 2,X360_b,Ubisoft,Ubisoft Montreal,8.2,2420000,1560000,610000,20000,230000,18th Mar 08,0
Kinect: Disneyland Adventures,X360_b,Microsoft Studios,Frontier Developments,8.5,2410000,1730000,430000,20000,230000,15th Nov 11,2508
Pro Evolution Soccer 2011,PS3_b,Konami,Konami,6,2410000,290000,1180000,540000,410000,05th Oct 10,0
Halo: Combat Evolved Anniversary,X360_b,Microsoft Studios,343 Industries,8,2410000,1440000,710000,40000,220000,15th Nov 11,0
Midnight Club: Los Angeles,X360_b,Rockstar Games,Rockstar San Diego,8,2400000,1720000,450000,10000,220000,20th Oct 08,0
The Incredibles,PS2_b,THQ,Heavy Iron Studios,5.9,2370000,960000,1080000,40000,300000,31st Oct 04,0
Kinect Sports: Season Two,X360_b,Microsoft Studios,Rare Ltd.,6.6,2330000,1380000,720000,20000,210000,25th Oct 11,0
Grand Theft Auto,PS_b,Take-Two Interactive,DMA Design,6,2320000,790000,1350000,40000,140000,30th Jun 98,0
