Game,Console,Publisher,Developer,Critic Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last_Update__Real
MotorStorm: Arctic Edge,PSP_b,Sony Computer Entertainment,Bigbig Studios,7.7,1040000,160000,580000,0,300000,29th Sep 09,0
Brink,X360_b,Bethesda Softworks,Splash Damage,6.8,1040000,590000,350000,10000,90000,10th May 11,0
Sonic Unleashed,PS3_b,Sega,Sonic Team,5.3,1030000,560000,320000,10000,140000,09th Dec 08,0
Dragon Ball Z: Budokai Tenkaichi 3,Wii_b,Atari,Spike / Bandai Namco Games,7.5,1030000,320000,360000,260000,80000,03rd Dec 07,0
Shrek 2,GC_b,Activision,"Luxoflux, Inc.",6.9,1020000,730000,260000,10000,30000,28th Apr 04,0
Bulletstorm,X360_b,Electronic Arts,People Can Fly,8.5,1020000,610000,320000,10000,80000,22nd Feb 11,0
F1 2012,PS3_b,Codemasters,Codemasters Birmingham,7.9,1010000,120000,650000,50000,180000,18th Sep 12,1996
EyePet,PS3_b,Sony Computer Entertainment,SCEE London Studio,6.9,1010000,370000,520000,40000,90000,17th Sep 10,0
Prince of Persia,X360_b,Ubisoft,Ubisoft Montreal,8.2,1010000,540000,340000,20000,100000,02nd Dec 08,0
NBA 2K10,X360_b,2K Sports,Visual Concepts,8.4,1010000,910000,20000,0,80000,06th Oct 09,0
Breath of Fire III,PS_b,Capcom,Capcom,7.6,1000000,290000,190000,460000,70000,30th Apr 98,0
Rayman Origins,PS3_b,Ubisoft,Ubisoft,8.5,1000000,330000,500000,10000,160000,15th Nov 11,0
Excitebike 64,N64_b,Nintendo,Left Field Productions,8.9,1000000,650000,150000,190000,10000,30th Apr 00,0
Tom Clancy's Splinter Cell: Blacklist,X360_b,Ubisoft,Ubisoft Toronto,8.4,1000000,570000,330000,10000,90000,20th Aug 13,1660
Haze,PS3_b,Ubisoft,Free Radical Design,5.6,990000,490000,330000,20000,150000,20th May 08,0
DiRT 2,PS3_b,Codemasters,Codemasters,8.8,990000,270000,530000,0,190000,08th Sep 09,0
Apollo Justice: Ace Attorney,DS_b,Capcom,Capcom,8,990000,280000,50000,640000,30000,19th Feb 08,0
Rocksmith 2014,X360_b,Ubisoft,Ubisoft San Francisco,8.4,990000,730000,160000,0,100000,22nd Oct 13,1597
Army of Two: The 40th Day,X360_b,Electronic Arts,EA Montreal,7.1,990000,650000,240000,0,90000,12th Jan 10,0
Tom Clancy's Splinter Cell: Blacklist,PS3_b,Ubisoft,Ubisoft Toronto,8.3,980000,340000,440000,60000,150000,20th Aug 13,1660
Pro Evolution Soccer 2008,PSP_b,Konami,Konami,7.8,980000,20000,530000,190000,250000,12th Mar 08,0
Sniper Elite V2,PS3_b,505 Games,Rebellion Developments,7.4,980000,380000,400000,60000,150000,02nd May 12,2140
Zoo Tycoon DS,DS_b,THQ,Blue Fang Games,4.6,980000,860000,30000,10000,70000,11th Oct 05,0
Suikoden III,PS2_b,Konami,KCET,8.6,980000,290000,230000,380000,80000,24th Oct 02,0
Fire Emblem: The Blazing Blade,GBA_b,Nintendo,Intelligent Systems,8.8,970000,490000,180000,290000,10000,03rd Nov 03,6467
Dark Cloud 2,PS2_b,Sony Computer Entertainment,Level 5,8.6,960000,380000,250000,260000,70000,17th Feb 03,0
PilotWings Resort,3DS_b,Nintendo,Monster Games,6.9,960000,400000,360000,130000,70000,27th Mar 11,0
Harvest Moon 3D: A New Beginning,3DS_b,Natsume,Marvelous,8.2,950000,410000,180000,310000,60000,06th Nov 12,1886
Sonic Unleashed,X360_b,Sega,Sonic Team,5.6,950000,540000,320000,0,90000,20th Nov 08,0
Wild ARMs,PS_b,Sony Computer Entertainment,Media.Vision,8.9,950000,260000,170000,460000,60000,30th Apr 97,0
Lost Planet 2,PS3_b,Capcom,Capcom,6.6,950000,290000,340000,200000,120000,11th May 10,0
Driver: San Francisco,PS3_b,Ubisoft,Ubisoft Reflections,8.2,950000,240000,530000,10000,170000,06th Sep 11,0
White Knight Chronicles: International Edition,PS3_b,Sony Computer Entertainment,Level 5,6.3,950000,340000,160000,360000,90000,02nd Feb 10,0
SaGa Frontier 2,PS_b,Square EA,SquareSoft,7.4,940000,100000,70000,710000,60000,31st Jan 00,0
Kingdom Hearts Re:coded,DS_b,Square Enix,High Horse Entertainment,6.8,930000,530000,90000,270000,50000,11th Jan 11,0
Bayonetta,X360_b,Sega,PlatinumGames,8.9,930000,510000,250000,90000,80000,05th Jan 10,0
Operation Flashpoint: Dragon Rising,X360_b,Codemasters,Codemasters,7.4,930000,360000,450000,20000,100000,06th Oct 09,0
Phoenix Wright: Ace Attorney,DS_b,Capcom,Capcom,8.1,930000,440000,50000,390000,50000,12th Oct 05,0
Dante's Inferno,X360_b,Electronic Arts,Visceral Games,7,920000,630000,200000,20000,80000,09th Feb 10,0
Xenoblade Chronicles,Wii_b,Nintendo,Monolith Soft,9.3,920000,430000,250000,160000,70000,06th Apr 12,0
Crysis 3,X360_b,Electronic Arts,Crytek,7.6,920000,510000,320000,10000,80000,19th Feb 13,1813
Tobal No.1,PS_b,Sony Computer Entertainment,DreamFactory,7.7,920000,120000,80000,660000,60000,30th Sep 96,0
Blue Dragon,X360_b,Microsoft Game Studios,Mistwalker Corporation / Artoon,7.7,920000,300000,330000,210000,80000,28th Aug 07,0
EA Sports Grand Slam Tennis,Wii_b,EA Sports,EA Vancouver,7.9,920000,280000,510000,20000,110000,08th Jun 09,0
Dynasty Warriors 7,PS3_b,Tecmo Koei,Omega Force,5.8,910000,250000,140000,460000,60000,29th Mar 11,0
Crysis 3,PS3_b,Electronic Arts,Crytek,8.2,910000,260000,480000,30000,140000,19th Feb 13,1848
Tom Clancy's EndWar,X360_b,Ubisoft,Ubisoft Shanghai,8,910000,580000,240000,10000,90000,04th Nov 08,0
Sonic Riders: Zero Gravity,Wii_b,Sega,Sonic Team,5.8,910000,480000,320000,20000,90000,08th Jan 08,0
Colin McRae Rally 2.0,PS_b,Codemasters,Codemasters,8.3,910000,20000,800000,20000,70000,05th Dec 00,0
Operation Flashpoint: Dragon Rising,PS3_b,Codemasters,Codemasters,7.3,910000,230000,460000,50000,170000,06th Oct 09,0
Homefront,PS3_b,THQ,Kaos Studios,6.6,900000,320000,400000,40000,150000,15th Mar 11,0
Lost Odyssey,X360_b,Microsoft Game Studios,Mistwalker Corporation / Feelplus Inc.,7.5,900000,450000,260000,110000,80000,12th Feb 08,0
SOCOM 4: U.S. Navy SEALs,PS3_b,Sony Computer Entertainment,Zipper Interactive,7,900000,660000,120000,40000,90000,19th Apr 11,0
Resistance: Retribution,PSP_b,Sony Computer Entertainment,SCEA Bend Studio,8,900000,270000,360000,50000,220000,17th Mar 09,0
Spider-Man 3,PS2_b,Activision,Vicarious Visions,4.4,900000,740000,30000,10000,120000,04th May 07,0
Pure,PS3_b,Disney Interactive Studios,Black Rock Studio,7,890000,420000,330000,0,140000,16th Sep 08,0
Ni no Kuni II: Revenant Kingdom,PS4_b,Namco Bandai Games,Level 5,8.7,890000,330000,310000,120000,130000,23rd Mar 18,-24
Fire Emblem: The Sacred Stones,GBA_b,Nintendo,Intelligent Systems,8.4,890000,420000,160000,300000,20000,23rd May 05,0
Dissidia 012: Duodecim Final Fantasy,PSP_b,Square Enix,Square Enix,8.3,890000,210000,130000,460000,90000,22nd Mar 11,0
Resident Evil: Revelations,3DS_b,Capcom,Capcom,7.8,890000,300000,230000,300000,50000,07th Feb 12,0
Samba De Amigo,Wii_b,Sega,Gearbox Software,6.7,890000,410000,370000,10000,90000,23rd Sep 08,0
F1 2010,X360_b,Codemasters,Codemasters Birmingham,8.4,880000,180000,590000,10000,100000,21st Sep 10,0
Call of Juarez: Bound in Blood,PS3_b,Ubisoft,Techland,7.7,880000,350000,380000,10000,150000,30th Jun 09,0
The Lord of the Rings: War in the North,X360_b,Warner Bros. Interactive,Snowblind Studios,6.6,880000,550000,240000,0,80000,01st Nov 11,0
Sonic Chronicles: The Dark Brotherhood,DS_b,Sega,BioWare Corp.,7.3,880000,500000,290000,10000,80000,30th Sep 08,0
WWE SmackDown vs. Raw 2011,X360_b,THQ,JAKKS Pacific,7.1,880000,440000,350000,0,80000,26th Oct 10,0
Metal Gear Ac!d,PSP_b,Konami,Konami,7.4,870000,320000,260000,120000,170000,22nd Mar 05,0
Michael Jackson: The Experience,X360_b,Ubisoft,Ubisoft Montreal,5.6,870000,620000,180000,0,70000,12th Apr 11,0
Sleeping Dogs,X360_b,Square Enix,United Front Games,7.9,870000,380000,400000,10000,80000,14th Aug 12,2030
Super Bomberman R,NS_b,Konami Digital Entertainment,HexaDrive,6.3,870000,310000,320000,190000,60000,03rd Mar 17,386
Paper Mario: Color Splash,WiiU_b,Nintendo,Intelligent Systems,7.4,870000,350000,370000,80000,60000,07th Oct 16,540
GRID,X360_b,Codemasters,Codemasters,8.7,870000,330000,440000,10000,90000,03rd Jun 08,0
Red Faction: Guerrilla,X360_b,THQ,Volition Inc.,8.4,870000,480000,290000,10000,90000,02nd Jun 09,0
Mario Party: Star Rush,3DS_b,Nintendo,"Nd Cube Co., Ltd.",6.2,870000,250000,370000,200000,50000,04th Nov 16,745
Brothers In Arms: Hell's Highway,X360_b,Ubisoft,Gearbox Software,7.6,870000,470000,300000,0,90000,23rd Sep 08,0
Vagrant Story,PS_b,Square EA,SquareSoft,9.3,870000,300000,200000,300000,60000,15th May 00,0
Mercenaries 2: World in Flames,PS3_b,Electronic Arts,Pandemic Studios,6,870000,290000,400000,20000,160000,31st Aug 08,0
Endless Ocean: Blue World,Wii_b,Nintendo,Arika,7.6,870000,460000,220000,120000,60000,22nd Feb 10,0
Wii Fit U,WiiU_b,Nintendo,Nintendo,7.2,860000,350000,240000,210000,60000,10th Jan 14,1477
Winning Eleven: Pro Evolution Soccer 2007,PSP_b,Konami,Konami Computer Entertainment Tokyo,8.2,860000,10000,720000,120000,10000,06th Feb 07,0
2010 FIFA World Cup South Africa,X360_b,EA Sports,EA Canada,8.4,850000,320000,420000,20000,90000,27th Apr 10,0
Ninja Gaiden Sigma 2,PS3_b,Tecmo Koei,Team Ninja,8.5,850000,520000,160000,80000,100000,29th Sep 09,0
Street Fighter Alpha 2,PS_b,Capcom,Capcom,8.2,850000,140000,90000,570000,60000,30th Sep 96,0
Dragon Ball Z: Burst Limit,PS3_b,Atari,Dimps Corporation,7.3,850000,220000,340000,180000,120000,10th Jun 08,0
Army of Two: The 40th Day,PS3_b,Electronic Arts,EA Montreal,7.1,850000,440000,270000,10000,130000,12th Jan 10,0
The House of the Dead: Overkill,Wii_b,Sega,Headstrong Games,7.9,850000,440000,300000,20000,90000,10th Feb 09,0
Darksiders II,PS3_b,THQ,Vigil Games,8.3,850000,350000,370000,10000,130000,14th Aug 12,2037
Sniper Elite V2,X360_b,505 Games,Rebellion Developments,7,840000,460000,280000,20000,80000,01st May 12,2141
Xenoblade Chronicles X,WiiU_b,Nintendo,Monolith Soft,8.1,840000,340000,290000,150000,60000,04th Dec 15,762
NBA 2K10,PS3_b,2K Sports,Visual Concepts,8.2,840000,750000,10000,10000,70000,06th Oct 09,0
Skate 2,PS3_b,Electronic Arts,EA Black Box,8.2,840000,460000,250000,10000,120000,21st Jan 09,0
ZombiU,WiiU_b,Ubisoft,Ubisoft Montpellier,6.9,840000,350000,370000,50000,70000,18th Nov 12,2812
Rogue Galaxy,PS2_b,Sony Computer Entertainment,Level 5,8.3,840000,240000,160000,390000,50000,30th Jan 07,0
Time Crisis 4,PS3_b,Namco Bandai,Bandai Namco Games,6.1,830000,320000,320000,50000,140000,20th Nov 07,0
Stranglehold,X360_b,Midway Games,Midway Games,8,830000,410000,330000,10000,90000,05th Sep 07,0
Dragon Age II,PS3_b,Electronic Arts,BioWare Corp.,7.7,830000,400000,260000,50000,120000,08th Mar 11,0
Sniper: Ghost Warrior,PS3_b,City Interactive,City Interactive,4.5,830000,300000,350000,40000,140000,28th Jun 11,0
Dragon Ball: Raging Blast 2,PS3_b,Namco Bandai,Spike,6,830000,430000,190000,110000,100000,02nd Nov 10,0
Sid Meier's Civilization Revolution,X360_b,2K Games,Firaxis Games,8.4,830000,580000,170000,0,70000,08th Jul 08,0
The Lord of the Rings: War in the North,PS3_b,Warner Bros. Interactive,Snowblind Studios,6.5,820000,250000,430000,10000,120000,01st Nov 11,0
Patapon,PSP_b,Sony Computer Entertainment,Pyramid/JAPAN Studio,8.7,820000,330000,250000,70000,170000,26th Feb 08,0
The Crew 2,PS4_b,Ubisoft,Ivory Tower,6.5,820000,220000,420000,50000,120000,29th Jun 18,20
Professor Layton vs Ace Attorney,3DS_b,Nintendo,Level 5,8.1,820000,200000,270000,300000,40000,29th Aug 14,1225
Tales of Destiny II,PS_b,Namco,Telenet Japan / Wolfteam,7.5,810000,60000,40000,660000,50000,10th Sep 01,0
Shaun White Snowboarding,X360_b,Ubisoft,Ubisoft Montreal,6.2,810000,480000,250000,0,80000,16th Nov 08,0
Pro Evolution Soccer 2010,X360_b,Konami,Konami,7,810000,120000,580000,30000,80000,03rd Nov 09,0
Golden Sun: Dark Dawn,DS_b,Nintendo,Camelot Software Planning,8,810000,530000,100000,130000,50000,29th Nov 10,0
DiRT 2,X360_b,Codemasters,Codemasters,8.8,800000,320000,390000,0,90000,08th Sep 09,0
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU_b,Nintendo,Sega Sports R&D,5.9,800000,370000,230000,140000,60000,15th Nov 13,1536
PES 2009: Pro Evolution Soccer,PSP_b,Konami,Konami,7.3,800000,40000,330000,260000,170000,11th Nov 08,0
Dead Island: Riptide,X360_b,Deep Silver,Techland,5.6,790000,440000,270000,10000,70000,23rd Apr 13,1786
Darksiders II,X360_b,THQ,Vigil Games,8.6,790000,450000,270000,0,70000,14th Aug 12,2001
The Godfather II,X360_b,Electronic Arts,EA Redwood Shores,6.2,790000,470000,230000,10000,80000,07th Apr 09,0
MadWorld,Wii_b,Sega,PlatinumGames,8.1,780000,450000,240000,20000,70000,10th Mar 09,0
Too Human,X360_b,Microsoft Game Studios,Silicon Knights,6.5,780000,380000,300000,30000,80000,19th Aug 08,0
Naruto Shippuden: Ultimate Ninja Storm 2,X360_b,Namco Bandai,CyberConnect2,7.6,780000,430000,270000,10000,70000,19th Oct 10,0
Tom Clancy's Splinter Cell: Double Agent,X360_b,Ubisoft,Ubisoft Shanghai,8.5,780000,670000,40000,10000,60000,17th Oct 06,0
Sid Meier's Civilization Revolution,PS3_b,2K Games,Firaxis Games,8.4,780000,490000,190000,10000,90000,08th Jul 08,0
Need for Speed: ProStreet,PSP_b,Electronic Arts,EA Black Box,5.6,780000,240000,330000,10000,190000,18th Feb 08,0
Ghost Squad,Wii_b,Sega,Polygon Magic,7,770000,420000,210000,80000,70000,20th Nov 07,0
The Sims 3,3DS_b,Electronic Arts,The Sims Studio,5.6,770000,300000,380000,30000,70000,27th Mar 11,0
Dragon Ball: Raging Blast,PS3_b,Namco Bandai,Spike,5.6,770000,370000,190000,110000,100000,10th Nov 09,0
Need for Speed: Undercover,PSP_b,Electronic Arts,Piranha Games,5.4,770000,230000,320000,30000,190000,17th Nov 08,0
Donkey Kong Country 3,GBA_b,Nintendo,Rare Ltd.,7.5,770000,450000,170000,140000,10000,07th Nov 05,0
Pok̩mon Dash,DS_b,Nintendo,Ambrella,5.3,770000,210000,140000,380000,40000,14th Mar 05,0
Resident Evil: Revelations,PS3_b,Capcom,Capcom,7.6,760000,140000,320000,220000,90000,21st May 13,1759
Banjo-Kazooie: Nuts & Bolts,X360_b,Microsoft Game Studios,Rare Ltd.,8,760000,320000,350000,0,80000,12th Nov 08,0
Pok̩Park 2: Wonders Beyond,Wii_b,Nintendo,Creatures Inc.,6.5,760000,260000,190000,270000,40000,27th Feb 12,2208
Marvel vs. Capcom 2,PS2_b,Capcom,Capcom,8.2,760000,310000,240000,130000,80000,19th Nov 02,0
Lost Planet 2,X360_b,Capcom,Capcom,6.5,760000,380000,240000,80000,60000,11th May 10,0
Kane & Lynch: Dead Men,X360_b,Eidos Interactive,IO Interactive,6.8,760000,360000,310000,10000,80000,13th Nov 07,0
LEGO City Undercover,PS4_b,Warner Bros. Interactive Entertainment,TT Fusion,8,750000,170000,460000,10000,120000,04th Apr 17,415
Genji: Days of the Blade,PS3_b,Sony Computer Entertainment,Game Republic,5,750000,180000,380000,60000,140000,14th Nov 06,0
Kane & Lynch: Dead Men,PS3_b,Eidos Interactive,IO Interactive,6.8,750000,290000,320000,10000,130000,13th Nov 07,0
Zone of the Enders,PS2_b,Konami,Konami Computer Entertainment Japan,7.5,750000,300000,240000,130000,80000,26th Mar 01,0
FIFA 19,NS_b,Electronic Arts,EA Sports,5.9,750000,180000,470000,60000,50000,28th Sep 18,-16
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2_b,Capcom,Capcom,7.9,750000,220000,170000,300000,60000,06th Nov 01,0
Turok,X360_b,Touchstone,Propaganda Games,6.6,750000,460000,200000,10000,70000,05th Feb 08,0
Ace Combat: Assault Horizon,PS3_b,Namco Bandai,Project ACES,7.5,740000,300000,160000,220000,70000,11th Oct 11,0
The Godfather II,PS3_b,Electronic Arts,EA Redwood Shores,6.4,740000,410000,210000,10000,100000,07th Apr 09,0
Red Faction: Guerrilla,PS3_b,THQ,Volition Inc.,8.6,740000,330000,270000,20000,120000,02nd Jun 09,0
Tales of Vesperia,X360_b,Namco Bandai,Namco Tales Studio,8.1,740000,320000,180000,190000,50000,26th Aug 08,0
Resonance of Fate,PS3_b,Sega,tri-Ace,7.5,740000,200000,220000,240000,80000,16th Mar 10,0
Sonic Forces,NS_b,Sega,Sonic Team,5.4,740000,390000,270000,10000,60000,07th Nov 17,95
Brink,PS3_b,Bethesda Softworks,Splash Damage,7.1,730000,290000,320000,10000,120000,10th May 11,0
Star Ocean: The Last Hope International,PS3_b,Square Enix,tri-Ace,8.1,730000,280000,150000,220000,70000,09th Feb 10,0
Katamari Damacy,PS2_b,Namco,Namco,8.5,730000,470000,20000,170000,80000,21st Sep 04,0
Monster Hunter Generations Ultimate,NS_b,Capcom,Capcom,7.7,720000,270000,140000,270000,40000,28th Aug 18,2
Kirby: Canvas Curse,DS_b,Nintendo,HAL Laboratory,8.9,720000,360000,0,320000,30000,13th Jun 05,0
Blur,PS3_b,Activision,Bizarre Creations,8.3,720000,220000,370000,20000,120000,25th May 10,0
F1 2011,X360_b,Codemasters,Codemasters Birmingham,8.5,720000,110000,500000,10000,90000,20th Sep 11,0
DiRT 3,X360_b,Codemasters,Codemasters,9.1,710000,230000,400000,10000,70000,24th May 11,0
Astro Bot Rescue Mission,PS4_b,Sony Interactive Entertainment,SIE Japan Studio,8.5,710000,220000,360000,20000,110000,02nd Oct 18,-15
Yu-Gi-Oh! The Falsebound Kingdom,GC_b,Konami,Konami,4.4,710000,490000,130000,70000,20000,04th Nov 03,0
The LEGO Movie Videogame,PS4_b,Warner Bros. Interactive Entertainment,TT Fusion,6,710000,260000,320000,10000,110000,07th Feb 14,1502
Blast Corps,N64_b,Nintendo,Rare Ltd.,9.1,710000,390000,90000,170000,60000,28th Feb 97,0
Monster Hunter 3 Ultimate,WiiU_b,Capcom,Capcom,8.7,710000,240000,200000,220000,40000,19th Mar 13,1775
Catherine,PS3_b,Atlus,Atlus,7.9,710000,300000,150000,200000,60000,26th Jul 11,2603
Plants vs Zombies: Garden Warfare,XOne_b,Electronic Arts,PopCap Games,7.6,710000,390000,250000,0,60000,25th Feb 14,1440
Ace Attorney Investigations: Miles Edgeworth,DS_b,Capcom,Capcom,7.7,700000,230000,140000,300000,40000,16th Feb 10,0
Chocobo's Dungeon 2,PS_b,Square EA,SquareSoft,6.2,700000,40000,30000,580000,50000,30th Nov 99,0
Ape Escape: On the Loose,PSP_b,Sony Computer Entertainment,SIMS,6.6,700000,520000,10000,120000,50000,22nd Mar 05,0
James Bond 007: Blood Stone,PS3_b,Activision,Bizarre Creations,6.2,700000,180000,370000,20000,120000,02nd Nov 10,0
Monster Hunter Stories,3DS_b,Capcom,Marvelous,8.1,700000,140000,150000,390000,30000,08th Sep 17,257
Driver: San Francisco,X360_b,Ubisoft,Ubisoft Reflections,8.1,700000,250000,370000,0,70000,06th Sep 11,0
Classic NES Series: Zelda II: The Adventure of Link,GBA_b,Nintendo,Nintendo EAD,6.6,700000,370000,140000,170000,10000,25th Oct 04,0
Metal Gear Solid: Portable Ops Plus,PSP_b,Konami,Kojima Productions,6.9,690000,260000,10000,260000,170000,13th Nov 07,0
The Evil Within,XOne_b,Bethesda Softworks,Tango Gameworks,7.9,690000,360000,270000,0,60000,14th Oct 14,1245
The Sly Collection,PS3_b,Sony Computer Entertainment,Sanzaru Games,8.7,690000,520000,80000,10000,80000,09th Nov 10,2709
Fortnite,NS_b,Warner Bros. Interactive Entertainment,Epic Games,8.5,690000,380000,240000,10000,60000,16th Nov 18,-151
Mario Party: The Top 100,3DS_b,Nintendo,"Nd Cube Co., Ltd.",5,690000,230000,170000,240000,40000,10th Nov 17,997
Test Drive Unlimited 2,X360_b,Atari,Eden Studios,6.8,680000,300000,320000,0,60000,08th Feb 11,0
Hot Shots Golf: Open Tee 2,PSP_b,Sony Computer Entertainment,Clap Hanz,8,680000,210000,110000,280000,80000,03rd Jun 08,0
Rayman Legends,WiiU_b,Ubisoft,Ubisoft Montpellier,9.5,680000,250000,350000,30000,50000,03rd Sep 13,1945
Bushido Blade 2,PS_b,Square EA,Light Weight,7.5,680000,250000,170000,220000,40000,28th Feb 98,0
Suikoden II,PS_b,Konami,Konami,8.5,680000,150000,100000,380000,40000,29th Sep 99,0
.hack//Mutation Part 2,PS2_b,Bandai,CyberConnect2,7.5,680000,230000,180000,200000,60000,07th May 03,0
Spider-Man 3,PS3_b,Activision,Treyarch,6.6,670000,260000,290000,20000,110000,04th May 07,0
Diablo III: Eternal Collection,NS_b,Blizzard Entertainment,Blizzard Entertainment,9,670000,380000,220000,10000,60000,02nd Nov 18,-50
Wild ARMs 2,PS_b,Sony Computer Entertainment,Media.Vision,6.5,670000,190000,130000,310000,40000,30th Apr 00,0
Final Fantasy Crystal Chronicles: Ring of Fates,DS_b,Square Enix,Square Enix,7.7,660000,220000,10000,420000,20000,11th Mar 08,0
2014 FIFA World Cup Brazil,PS3_b,EA Sports,EA Canada,7.9,660000,150000,400000,10000,100000,15th Apr 14,1436
Castlevania: Lords of Shadow,X360_b,Konami,Mercury Steam,7.9,660000,420000,170000,10000,50000,05th Oct 10,0
Fist of the North Star: Ken's Rage,PS3_b,Tecmo Koei,Tecmo Koei Games,4.8,660000,60000,30000,550000,10000,02nd Nov 10,2825
Suikoden IV,PS2_b,Konami,Konami Computer Entertainment Tokyo,6.3,660000,170000,130000,300000,50000,11th Jan 05,0
Shaun White Snowboarding,PS3_b,Ubisoft,Ubisoft Montreal,6,660000,310000,240000,10000,100000,16th Nov 08,0
Dead or Alive 5,PS3_b,Tecmo Koei,Team Ninja,7.6,650000,230000,150000,210000,70000,17th Feb 15,1070
F-Zero GX,GC_b,Nintendo,Amusement Vision,8.4,650000,410000,110000,120000,20000,26th Aug 03,0
007: Quantum of Solace,Wii_b,Activision,Beenox,5.6,650000,290000,280000,10000,70000,04th Nov 08,0
LEGO City Undercover,NS_b,Warner Bros. Interactive Entertainment,TT Fusion,8,650000,230000,330000,30000,50000,04th Apr 17,325
Star Ocean: First Departure,PSP_b,Square Enix,TOSE Software,7.5,650000,200000,140000,220000,90000,21st Oct 08,0
Sengoku Basara: Samurai Heroes,PS3_b,Capcom,Capcom,6.1,640000,170000,40000,400000,20000,12th Oct 10,0
New Play Control! Pikmin,Wii_b,Nintendo,Nintendo EAD,7.7,640000,280000,130000,190000,40000,09th Mar 09,0
Dragon Ball: Raging Blast 2,X360_b,Namco Bandai,Spike,6,640000,490000,90000,10000,50000,02nd Nov 10,0
Castlevania,N64_b,Konami,KCEK,7.6,640000,440000,100000,40000,50000,26th Jan 99,0
Dead Island: Riptide,PS3_b,Deep Silver,Techland,6.6,640000,260000,210000,70000,100000,23rd Apr 13,1786
Lost Planet: Extreme Condition,PS3_b,Capcom,Capcom,6.3,640000,310000,170000,70000,80000,26th Feb 08,0
White Knight Chronicles II,PS3_b,D3 Publisher,Level 5,5.4,630000,230000,90000,270000,40000,13th Sep 11,0
LEGO The Incredibles,NS_b,Warner Bros. Interactive Entertainment,Traveller's Tales,6.5,630000,350000,210000,10000,60000,15th Jun 18,144
Ape Escape 2,PS2_b,Ubisoft,SCE Japan Studio,8,630000,120000,90000,380000,30000,30th Jun 03,5553
Shin Megami Tensei: Persona 3 FES,PS2_b,Atlus,Atlus,8.7,630000,220000,200000,160000,50000,22nd Apr 08,3548
Tony Hawk's Project 8,PS3_b,Activision,Neversoft Entertainment,7.9,630000,300000,230000,10000,100000,17th Nov 06,0
NieR,PS3_b,Square Enix,Cavia Inc.,6.6,630000,170000,190000,200000,70000,27th Apr 10,0
Test Drive Unlimited 2,PS3_b,Atari,Eden Studios,6.9,630000,160000,350000,10000,110000,08th Feb 11,0
Wild ARMs 3,PS2_b,Sony Computer Entertainment,Media.Vision,7.6,620000,160000,130000,290000,40000,15th Oct 02,0
Donkey Kong Barrel Blast,Wii_b,Nintendo,Paon Corporation,4.8,620000,190000,260000,110000,60000,08th Oct 07,0
Jak and Daxter: The Lost Frontier,PSP_b,Sony Computer Entertainment,High Impact Games,7.5,620000,180000,280000,0,160000,03rd Nov 09,0
Viewtiful Joe,GC_b,Capcom,Clover Studio,9.4,620000,380000,100000,120000,20000,07th Oct 03,0
Prince of Persia: The Forgotten Sands,X360_b,Ubisoft,Ubisoft Montreal,7.5,620000,300000,260000,0,60000,18th May 10,0
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS_b,Capcom,Capcom,7.9,620000,300000,30000,250000,30000,23rd Oct 07,0
NBA 2K9,PS3_b,2K Sports,Visual Concepts,8.3,620000,560000,0,0,50000,07th Oct 08,0
Dragon Ball Z: Ultimate Tenkaichi,PS3_b,Namco Bandai,Spike,5,620000,270000,180000,90000,70000,25th Oct 11,0
Wet,PS3_b,Bethesda Softworks,Artificial Mind and Movement,6.9,620000,220000,270000,10000,110000,15th Sep 09,0
Vanquish,PS3_b,Sega,PlatinumGames,8.5,610000,210000,220000,110000,80000,19th Oct 10,0
Samurai Warriors 2,PS2_b,KOEI,Omega Force,5.6,610000,20000,20000,570000,10000,19th Sep 06,0
Sacred 2: Fallen Angel,PS3_b,CDV Software Entertainment,Ascaron Entertainment,7.1,610000,220000,230000,80000,90000,11th May 09,0
New Play Control! Pikmin 2,Wii_b,Nintendo,Nintendo EAD,8.7,610000,110000,130000,340000,20000,10th Jun 12,0
Final Fantasy IV Advance,GBA_b,Square Enix,Square Enix,8.6,610000,270000,100000,220000,10000,12th Dec 05,0
Wave Race: Blue Storm,GC_b,Nintendo,Nintendo Software Technology Corporation,8.4,600000,400000,100000,90000,20000,17th Nov 01,0
Suikoden,PS_b,Konami,Konami,8.2,600000,210000,140000,210000,40000,01st Dec 96,0
Call of Juarez: Bound in Blood,X360_b,Ubisoft,Techland,7.6,600000,300000,240000,0,60000,30th Jun 09,0
PGR3 - Project Gotham Racing 3,X360_b,Microsoft Game Studios,Bizarre Creations,8.8,600000,490000,30000,30000,50000,16th Nov 05,0
Metal Gear Solid V: Ground Zeroes,PS3_b,Konami Digital Entertainment,Kojima Productions,8.5,590000,130000,130000,280000,50000,18th Mar 14,1464
Kane & Lynch 2: Dog Days,PS3_b,Square Enix,IO Interactive,6.3,590000,170000,280000,50000,100000,17th Aug 10,0
2002 FIFA World Cup,PS2_b,EA Sports,EA Canada,7.9,590000,210000,170000,160000,60000,22nd Apr 02,0
