Game,Console,Publisher,Developer,Critic_Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Last_Update__Real,Release_Date
Madden_NFL_09,PS3_b,EA_Sports,EA_Tiburon,8.6,1890000,1560000,150000,0,180000,0,10445
Too_Human,X360_b,Microsoft_Game_Studios,Silicon_Knights,6.5,780000,380000,300000,30000,80000,0,10452
Tales_of_Vesperia,X360_b,Namco_Bandai,Namco_Tales_Studio,8.1,740000,320000,180000,190000,50000,0,10459
Disgaea_3:_Absence_of_Justice,PS3_b,NIS_America,Nippon_Ichi_Software,7.8,550000,360000,30000,110000,50000,0,10459
Mercenaries_2:_World_in_Flames,X360_b,Electronic_Arts,Pandemic_Studios,7.1,1060000,650000,300000,10000,100000,0,10464
Mercenaries_2:_World_in_Flames,PS3_b,Electronic_Arts,Pandemic_Studios,6,870000,290000,400000,20000,160000,0,10464
Viva_Pinata:_Trouble_in_Paradise,X360_b,Microsoft_Game_Studios,Rare_Ltd.,8.5,470000,160000,250000,10000,50000,0,10466
Vampire_Rain:_Altered_Species,PS3_b,Ignition_Entertainment,Artoon,3.5,60000,50000,0,0,10000,0,10466
Spore_Creatures,DS_b,Electronic_Arts,Foundation_9,7.2,1070000,660000,300000,0,100000,0,10471
Pure,X360_b,Disney_Interactive_Studios,Black_Rock_Studio,8.3,2470000,1380000,840000,0,250000,0,10480
Star_Wars:_The_Force_Unleashed,Wii_b,LucasArts,Krome_Studios,6.8,1860000,1110000,560000,0,190000,0,10480
Pure,PS3_b,Disney_Interactive_Studios,Black_Rock_Studio,7,890000,420000,330000,0,140000,0,10480
Armored_Core:_For_Answer,PS3_b,Ubisoft,From_Software,6.1,190000,60000,20000,100000,10000,0,10480
Armored_Core:_For_Answer,X360_b,Ubisoft,From_Software,6.5,150000,60000,10000,70000,10000,0,10480
Battle_Fantasia,X360_b,Aksys_Games,Arc_System_Works,7,90000,70000,0,10000,10000,0,10480
Samba_De_Amigo,Wii_b,Sega,Gearbox_Software,6.7,890000,410000,370000,10000,90000,0,10487
Brothers_In_Arms:_Hell's_Highway,X360_b,Ubisoft,Gearbox_Software,7.6,870000,470000,300000,0,90000,0,10487
Disgaea_DS,DS_b,NIS_America,Nippon_Ichi_Software,8,180000,110000,10000,50000,10000,0,10487
Warriors_Orochi_2,X360_b,KOEI,Omega_Force,4.6,60000,40000,0,10000,0,0,10487
Sonic_Chronicles:_The_Dark_Brotherhood,DS_b,Sega,BioWare_Corp.,7.3,880000,500000,290000,10000,80000,0,10494
Valhalla_Knights_2,PSP_b,Xseed_Games,K2_LLC,5,230000,90000,0,120000,10000,0,10495
NBA_2K9,PS3_b,2K_Sports,Visual_Concepts,8.3,620000,560000,0,0,50000,0,10501
NBA_Live_09,PSP_b,Electronic_Arts,EA_Canada,6.1,390000,230000,70000,30000,60000,0,10501
Fracture,X360_b,LucasArts,Day_1_Studios,4,330000,150000,140000,0,40000,0,10501
Saints_Row_2,X360_b,THQ,Volition_Inc.,7.9,3070000,1980000,790000,20000,280000,3455,10508
FIFA_Soccer_09,PS3_b,Electronic_Arts,EA_Canada,8.6,2590000,490000,1630000,40000,430000,0,10508
FIFA_Soccer_09,X360_b,Electronic_Arts,EA_Canada,8.7,1940000,490000,1260000,10000,180000,0,10508
Saints_Row_2,PS3_b,THQ,Volition_Inc.,7.9,1680000,880000,540000,20000,240000,3455,10508
FIFA_Soccer_09,PSP_b,EA_Sports,EA_Canada,8.1,1350000,230000,730000,20000,370000,0,10508
