Game,Console,Publisher,Developer,Critic_Score,Total_Sales,NA_Sales,PAL_Sales,Japan_Sales,Other_Sales,Release_Date,Last_Update_Real
Madden_NFL_2004,PS2_b,EA_Sports,EA_Tiburon,9.5,5.23m,4.26m,0.26m,0.01m,0.71m,12th_Aug_03,12th_Aug_03
Call_of_Duty:_Advanced_Warfare,XOne_b,Activision,Sledgehammer_Games,8.3,5.22m,3.25m,1.49m,0.01m,0.48m,04th_Nov_14,01st_Jan_18
Medal_of_Honor:_Rising_Sun,PS2_b,Electronic_Arts,EA_Los_Angeles,5.9,5.13m,1.98m,2.23m,0.13m,0.80m,11th_Nov_03,11th_Nov_03
Battlefield_1,XOne_b,Electronic_Arts,EA_DICE,9.3,5.13m,3.37m,1.26m,0.02m,0.48m,21st_Oct_16,24th_Mar_18
Resident_Evil_5,PS3_b,Capcom,Capcom,8.6,5.10m,1.96m,1.42m,1.08m,0.64m,13th_Mar_09,13th_Mar_09
Fable_III,X360_b,Microsoft_Game_Studios,Lionhead_Studios,7.8,5.10m,3.59m,1.09m,0.05m,0.37m,26th_Oct_10,26th_Oct_10
Mario_&_Sonic_at_the_Olympic_Games,DS_b,Sega,Sega,7,5.10m,1.63m,2.46m,0.44m,0.57m,22nd_Jan_08,22nd_Jan_08
Grand_Theft_Auto:_Vice_City_Stories,PSP_b,Rockstar_Games,Rockstar_Leeds,8.4,5.08m,1.70m,2.03m,0.16m,1.19m,31st_Oct_06,31st_Oct_06
FIFA_Soccer_11,PS3_b,EA_Sports,EA_Canada,8.7,5.08m,0.61m,3.28m,0.06m,1.12m,28th_Sep_10,28th_Sep_10
Final_Fantasy_XV,PS4_b,Square_Enix,Square_Enix,8.1,5.07m,1.81m,1.53m,1.05m,0.68m,29th_Nov_16,04th_May_18
Fallout_4,XOne_b,Bethesda_Softworks,Bethesda_Game_Studios,8.4,5.03m,2.94m,1.62m,0.02m,0.45m,10th_Nov_15,24th_Mar_18
Tony_Hawk's_Pro_Skater,PS_b,Activision,Neversoft_Entertainment,9.6,5.02m,3.42m,1.38m,0.02m,0.20m,31st_Aug_99,31st_Aug_99
Guitar_Hero_III:_Legends_of_Rock,PS2_b,RedOctane,BudCat_Creations,8.2,4.98m,3.49m,0.01m,0.01m,1.48m,28th_Oct_07,28th_Oct_07
Uncharted:_Drake's_Fortune,PS3_b,Sony_Computer_Entertainment,Naughty_Dog,8.7,4.97m,2.32m,1.73m,0.12m,0.80m,16th_Nov_07,16th_Nov_07
Fallout_3,X360_b,Bethesda_Softworks,Bethesda_Game_Studios,9,4.96m,3.41m,0.99m,0.09m,0.46m,28th_Oct_08,28th_Oct_08
Madden_NFL_06,PS2_b,EA_Sports,EA_Tiburon,9.1,4.91m,3.98m,0.26m,0.01m,0.66m,08th_Aug_05,08th_Aug_05
Assassin's_Creed,PS3_b,Ubisoft,Ubisoft_Montreal,8.2,4.83m,1.91m,2.01m,0.09m,0.82m,13th_Nov_07,13th_Nov_07
Crash_Team_Racing,PS_b,Sony_Computer_Entertainment,Naughty_Dog,9.2,4.79m,2.57m,1.57m,0.44m,0.21m,30th_Sep_99,30th_Sep_99
Batman:_Arkham_City,X360_b,Warner_Bros._Interactive,Rocksteady_Studios,9.5,4.75m,2.99m,1.28m,0.04m,0.44m,18th_Oct_11,18th_Oct_11
Driver_2,PS_b,Atari,Reflections_Interactive,7,4.73m,2.36m,2.10m,0.02m,0.25m,13th_Nov_00,13th_Nov_00
Tony_Hawk's_Pro_Skater_2,PS_b,Activision,Neversoft_Entertainment,9.3,4.68m,3.05m,1.41m,0.02m,0.20m,20th_Sep_00,20th_Sep_00
